Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy
Team Stats,442,5686,1101,5.2,49,25,356,301,504,3446,31,24,6.2,181,542,2240,18,4.1,143,121,992,32
Opp. Stats,338,4748,1024,4.6,36,16,285,282,531,3162,20,20,5.4,170,436,1586,13,3.6,86,109,947,29
Lg Rank Offense,3,7,,,25,26,2,,13,9,2,18,11,,8,10,8,15,,,,
Lg Rank Defense,13,4,,,17,17,3,,23,13,9,20,3,,4,4,9,4,,,,
