Player,PF,Yds,Ply,Y/P,TO,FL,1stD
Team Stats,457,5852,1073.0,5.5,20,11,338
Opp. Stats,295,4904,976.0,5.0,31,12,272
Lg Rank Offense,3,7, , ,11,22,4
Lg Rank Defense,4,4, , ,4,4,5
