Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds.1,TD,Int,NY/A,1stD.1,Att.1,Yds.2,TD.1,Y/A,1stD.2,Pen,Yds.3,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds.4,Pts
Team Stats,492,6145,1017.0,6.0,17,5,364,410.0,626,4626,42,12,7.1,238.0,369,1519,16,4.1,82.0,84.0,715.0,44.0,180.0,47.8,8.9,Own 31.0,2:34,5.82,34.1,2.72
Opp. Stats,355,5234,1023.0,5.1,25,10,319,426.0,617,3945,29,15,5.9,215.0,358,1289,10,3.6,78.0,95.0,1015.0,26.0,178.0,33.7,14.0,Own 28.1,2:48,5.9,29.4,1.89
Lg Rank Offense,3,7, , ,7,2,10, ,6,2,2,16,8.0, ,29,28,15,25.0, , , , , ,6.0,27.0,4,28,28.0,13.0,5.0
Lg Rank Defense,8,6, , ,5,8,5, ,29,21,20,7,8.0, ,1,1,1,1.0, , , , , ,27.0,4.0,13,17,9.0,6.0,6.0
