Player,Att.1,Yds.2,TD.1,Y/A,1stD.2
Team Stats,482,1872,19,3.9,109.0
Opp. Stats,368,1417,6,3.9,81.0
Lg Rank Offense,3,7,5,25.0, 
Lg Rank Defense,3,3,1,8.0, 
