Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds.1,TD,Int,NY/A,1stD.1,Att.1,Yds.2,TD.1,Y/A,1stD.2,Pen,Yds.3,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds.4,Pts
Team Stats,451,6067,976.0,6.2,15,10,350,378.0,576,4498,30,5,7.5,211.0,375,1569,16,4.2,93.0,107.0,1029.0,46.0,164.0,48.8,7.9,Own 28.8,2:52,6.18,37.0,2.59
Opp. Stats,308,5594,1043.0,5.4,23,7,344,352.0,582,3543,21,16,5.7,190.0,416,2051,14,4.9,115.0,116.0,844.0,39.0,164.0,34.1,13.4,Own 27.0,2:59,6.5,34.0,1.88
Lg Rank Offense,5,6, , ,3,19,6, ,15,5,5,2,2.0, ,27,23,13,20.0, , , , , ,2.0,29.0,12,5,6.0,3.0,2.0
Lg Rank Defense,7,17, , ,10,24,23, ,23,8,8,5,5.0, ,17,26,17,29.0, , , , , ,22.0,9.0,7,30,32.0,23.0,15.0
