Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,373,5302,1041,5.1,34,14,321,302,544,3154,23,20,5.5,167,469,2148,15,4.6,119,77,652,35,189,32.3,17.5,Own 31.5,2:39,5.65,28.1,1.77
Opp. Stats,351,4880,984,5.0,25,10,288,306,523,3317,24,15,5.8,185,408,1563,12,3.8,83,118,874,20,193,29.5,12.4,Own 31.3,2:22,5.2,25.2,1.63
Lg Rank Offense,14,16,,,23,23,8,,17,21,14,23,22,,8,4,7,4,,,,,,15,6,14,14,14,15,14
Lg Rank Defense,17,7,,,22,18,10,,9,11,20,20,10,,10,8,17,9,,,,,,21,23,19,2,5,5,16
