Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds.1,TD,Int,NY/A,1stD.1,Att.1,Yds.2,TD.1,Y/A,1stD.2,Pen,Yds.3,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds.4,Pts
Team Stats,371,4882,1001.0,4.9,28,13,292,306.0,482,3089,21,15,5.9,163.0,473,1793,15,3.8,101.0,92.0,802.0,28.0,185.0,32.4,14.6,Own 32.6,2:41,5.57,26.2,1.75
Opp. Stats,272,5352,1016.0,5.3,35,13,303,299.0,546,3497,15,22,6.0,171.0,429,1855,7,4.3,99.0,93.0,839.0,33.0,188.0,27.7,17.6,Own 29.8,2:31,5.6,28.4,1.3
Lg Rank Offense,6,19, , ,13,16,13, ,24,22,11,11,15.0, ,8,13,7,24.0, , , , , ,7.0,14.0,8,7,9.0,19.0,7.0
Lg Rank Defense,6,24, , ,8,9,26, ,23,24,6,6,19.0, ,13,19,4,21.0, , , , , ,22.0,7.0,7,13,25.0,24.0,6.0
