Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy
Team Stats,321,4134,860,4.8,36,14,242,219,416,2798,23,22,6.2,148,411,1336,9,3.3,70,71,708,24
Opp. Stats,234,3845,883,4.4,34,9,214,238,452,2406,16,25,4.9,120,390,1439,6,3.7,79,101,1032,15
Lg Rank Offense,6,8,,,16,10,5,,5,3,4,15,5,,21,23,19,23,,,,
Lg Rank Defense,7,9,,,14,24,11,,26,21,11,4,4,,3,6,2,10,,,,
