Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,355,5688,1056,5.4,31,8,314,368,606,3970,19,23,6.2,201,411,1718,13,4.2,85,115,1063,28,199,31.2,15.1,Own 25.9,2:27,5.48,28.6,1.58
Opp. Stats,296,4530,1033,4.4,27,13,289,344,573,3193,19,14,5.1,162,408,1337,10,3.3,81,104,773,46,201,26.9,11.9,Own 29.5,2:26,5.3,22.5,1.38
Lg Rank Offense,19,16,,,29,7,19,,13,14,28,32,21,,17,17,12,13,,,,,,24,6,27,24,25,23,24
Lg Rank Defense,4,1,,,8,4,5,,18,1,3,13,1,,13,3,10,1,,,,,,31,14,30,6,2,1,1
