Player,Att.1,Yds.2,TD.1,Y/A,1stD.2
Team Stats,473,2115,9,4.5,108.0
Opp. Stats,337,1267,7,3.8,62.0
Lg Rank Offense,6,3,24,4.0, 
Lg Rank Defense,1,1,3,6.0, 
