Player,Att.1,Yds.2,TD.1,Y/A,1stD.2
Team Stats,511,2199,9,4.3,116.0
Opp. Stats,361,970,5,2.7,59.0
Lg Rank Offense,5,5,24,8.0, 
Lg Rank Defense,3,1,1,1.0, 
