Player,Att.1,Yds.2,TD.1,Y/A,1stD.2
Team Stats,414,1557,6,3.8,90.0
Opp. Stats,410,1554,8,3.8,79.0
Lg Rank Offense,23,27,31,28.0, 
Lg Rank Defense,10,5,3,5.0, 
