Player,PF,Yds,Ply,Y/P,TO,FL,1stD
Team Stats,346,5002,1022.0,4.9,21,11,287
Opp. Stats,196,4044,963.0,4.2,38,7,236
Lg Rank Offense,18,24, , ,6,12,23
Lg Rank Defense,1,1, , ,3,30,1
