Player,PF,Yds,Ply,Y/P,TO,FL,1stD
Team Stats,468,5848,1073.0,5.5,13,4,361
Opp. Stats,313,5506,1033.0,5.3,25,9,329
Lg Rank Offense,4,11, , ,1,2,4
Lg Rank Defense,8,13, , ,14,18,22
