Player,Cmp,Att,Yds.1,TD,Int,NY/A,1stD.1
Team Stats,302.0,544,3154,23,20,5.5,167.0
Opp. Stats,306.0,523,3317,24,15,5.8,185.0
Lg Rank Offense, ,17,21,14,23,22.0, 
Lg Rank Defense, ,9,11,20,20,10.0, 
