Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,427,6070,1011,6.0,19,10,376,362,557,4308,31,9,7.5,241,439,1762,17,4.0,112,86,718,23,156,47.4,10.9,Own 28.8,3:02,6.67,38.9,2.65
Opp. Stats,360,5316,959,5.5,26,11,325,266,415,2548,16,15,5.8,150,519,2768,20,5.3,150,86,667,25,156,38.5,16.7,Own 30.7,3:07,6.4,34.1,2.08
Lg Rank Offense,2,3,,,4,10,1,,6,2,1,2,1,,18,18,6,16,,,,,,1,28,27,1,1,1,1
Lg Rank Defense,23,21,,,21,17,28,,2,2,5,20,13,,31,32,30,32,,,,,,3,6,21,32,32,32,31
