Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy
Team Stats,350,5190,946,5.5,29,11,303,232,361,2905,33,18,7.5,146,557,2285,14,4.1,137,107,957,20
Opp. Stats,237,4379,913,4.8,25,9,261,197,389,2476,13,16,5.7,138,478,1903,17,4.0,98,96,918,25
Lg Rank Offense,4,2,,,4,2,2,,15,3,1,15,2,,8,10,14,14,,,,
Lg Rank Defense,12,18,,,26,28,19,,21,23,9,16,20,,6,10,20,15,,,,
