Player,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Team Stats,221.0,91.0,41.2%,17.0,7.0,41.2%,52.0,25.0,48.1%
Opp. Stats,215.0,80.0,37.2%,15.0,5.0,33.3%,49.0,19.0,38.8%
Lg Rank Offense, , ,8, , ,20, , ,16
Lg Rank Defense, , ,15, , ,8, , ,3
