Player,#Dr,Sc%,TO%,Start,Time,Plays,Yds.4,Pts
Team Stats,183.0,36.1,10.9,Own 33.2,2:46,5.41,28.1,2.0
Opp. Stats,181.0,27.1,14.9,Own 30.7,2:35,5.7,25.0,1.36
Lg Rank Offense, ,7.0,28.0,6,5,25.0,11.0,7.0
Lg Rank Defense, ,25.0,13.0,16,17,24.0,9.0,4.0
