Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy
Team Stats,475,6366,1057,6.0,22,12,356,312,496,3901,32,10,7.5,204,534,2465,21,4.6,138,100,884,14
Opp. Stats,227,5176,1029,5.0,38,13,302,298,546,3381,14,25,5.7,173,432,1795,10,4.2,101,91,723,28
Lg Rank Offense,2,2,,,1,4,3,,15,4,2,1,2,,6,3,2,2,,,,
Lg Rank Defense,1,10,,,10,17,10,,22,17,1,7,11,,3,7,2,21,,,,
