Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy
Team Stats,345,4812,969,5.0,24,14,272,215,372,2443,18,10,6.0,136,564,2369,21,4.2,118,106,865,18
Opp. Stats,212,3213,880,3.7,31,10,205,154,370,1562,14,21,3.7,94,457,1651,9,3.6,88,78,731,23
Lg Rank Offense,2,1,,,1,8,2,,10,4,6,1,5,,8,4,1,5,,,,
Lg Rank Defense,8,1,,,19,25,4,,19,2,12,11,1,,4,3,7,8,,,,
