Player,PF,Yds,Ply,Y/P,TO,FL,1stD
Team Stats,373,5302,1041.0,5.1,34,14,321
Opp. Stats,351,4880,984.0,5.0,25,10,288
Lg Rank Offense,14,16, , ,23,23,8
Lg Rank Defense,17,7, , ,22,18,10
