Player,Cmp,Att,Yds.1,TD,Int,NY/A,1stD.1
Team Stats,334.0,560,3739,22,11,6.3,182.0
Opp. Stats,335.0,557,3650,15,13,6.1,187.0
Lg Rank Offense, ,15,15,18,6,15.0, 
Lg Rank Defense, ,16,17,2,19,16.0, 
