Player,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Team Stats,201.0,82.0,40.8%,14.0,7.0,50.0%,57.0,34.0,59.6%
Opp. Stats,197.0,76.0,38.6%,16.0,6.0,37.5%,46.0,27.0,58.7%
Lg Rank Offense, , ,13, , ,20, , ,15
Lg Rank Defense, , ,16, , ,2, , ,16
