Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,347,4991,1015,4.9,25,10,290,303,506,3301,19,15,5.9,179,460,1690,16,3.7,93,95,812,18,190,32.6,12.6,Own 31.1,2:40,5.51,26.1,1.72
Opp. Stats,223,3795,974,3.9,29,9,240,301,533,2511,12,20,4.3,149,390,1284,7,3.3,73,91,801,18,188,22.9,14.4,Own 30.6,2:27,5.3,20.1,1.09
Lg Rank Offense,20,22,,,15,13,20,,20,17,18,16,20,,9,23,11,29,,,,,,21,17,12,18,20,24,19
Lg Rank Defense,1,1,,,9,18,2,,23,1,2,6,1,,5,2,2,1,,,,,,31,10,18,5,5,1,2
