Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds.1,TD,Int,NY/A,1stD.1,Att.1,Yds.2,TD.1,Y/A,1stD.2,Pen,Yds.3,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds.4,Pts
Team Stats,460,6325,1058.0,6.0,23,5,355,406.0,607,4642,41,18,7.3,233.0,420,1683,10,4.0,99.0,76.0,637.0,23.0,181.0,45.9,12.2,Own 28.0,2:44,6.03,34.9,2.5
Opp. Stats,372,5863,1118.0,5.2,25,6,347,416.0,625,4109,17,19,6.1,214.0,443,1754,18,4.0,111.0,88.0,688.0,22.0,181.0,35.9,13.3,Own 27.9,2:57,6.4,32.4,1.85
Lg Rank Offense,7,9, , ,17,2,12, ,10,5,2,27,2.0, ,23,25,28,25.0, , , , , ,3.0,16.0,23,20,18.0,8.0,7.0
Lg Rank Defense,15,17, , ,10,26,19, ,27,22,2,3,15.0, ,17,6,23,5.0, , , , , ,20.0,9.0,10,25,25.0,19.0,7.0
