Player,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Team Stats,205.0,90.0,43.9%,19.0,10.0,52.6%,70.0,42.0,60.0%
Opp. Stats,223.0,92.0,41.3%,32.0,17.0,53.1%,56.0,29.0,51.8%
Lg Rank Offense, , ,7, , ,17, , ,14
Lg Rank Defense, , ,21, , ,15, , ,8
