Player,PF,Yds,Ply,Y/P,TO,FL,1stD
Team Stats,451,6067,976.0,6.2,15,10,350
Opp. Stats,308,5594,1043.0,5.4,23,7,344
Lg Rank Offense,5,6, , ,3,19,6
Lg Rank Defense,7,17, , ,10,24,23
