Player,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Team Stats,227.0,84.0,37.0%,14.0,6.0,42.9%,50.0,22.0,44.0%
Opp. Stats,235.0,81.0,34.5%,16.0,6.0,37.5%,46.0,18.0,39.1%
Lg Rank Offense, , ,15, , ,21, , ,27
Lg Rank Defense, , ,7, , ,7, , ,4
