Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,417,5424,973,5.6,19,10,307,267,420,3236,27,9,7.0,160,509,2188,14,4.3,116,128,1183,31,182,40.7,9.3,Own 31.0,2:41,5.54,29.7,2.12
Opp. Stats,231,4378,990,4.4,39,11,282,309,524,2752,16,28,4.8,156,422,1626,4,3.9,83,98,879,43,186,24.7,19.4,Own 25.8,2:38,5.5,23.4,1.17
Lg Rank Offense,8,17,,,4,16,20,,31,26,10,3,6,,2,4,13,12,,,,,,5,27,3,6,17,12,7
Lg Rank Defense,1,1,,,1,11,3,,7,1,2,1,1,,10,7,1,7,,,,,,32,1,6,22,12,1,1
