Player,PF,Yds,Ply,Y/P,TO,FL,1stD
Team Stats,496,7032,1094.0,6.4,23,11,408
Opp. Stats,369,5579,1093.0,5.1,20,9,337
Lg Rank Offense,1,1, , ,17,24,1
Lg Rank Defense,16,11, , ,20,17,19
