Player,Cmp,Att,Yds.1,TD,Int,NY/A,1stD.1
Team Stats,362.0,557,4308,31,9,7.5,241.0
Opp. Stats,266.0,415,2548,16,15,5.8,150.0
Lg Rank Offense, ,6,2,1,2,1.0, 
Lg Rank Defense, ,2,2,5,20,13.0, 
