Player,Att.1,Yds.2,TD.1,Y/A,1stD.2
Team Stats,411,1718,13,4.2,85.0
Opp. Stats,408,1337,10,3.3,81.0
Lg Rank Offense,17,17,12,13.0, 
Lg Rank Defense,13,3,10,1.0, 
