Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy
Team Stats,364,5045,1044,4.8,44,20,281,235,456,2899,23,24,5.8,149,541,2146,14,4.0,108,98,929,24
Opp. Stats,306,5038,1079,4.7,52,17,319,296,524,3312,17,35,5.7,181,501,1726,19,3.4,108,102,922,30
Lg Rank Offense,7,16,,,26,25,23,,22,19,12,13,16,,10,10,18,11,,,,
Lg Rank Defense,10,11,,,1,6,20,,22,19,5,1,7,,13,5,21,1,,,,
