Player,PF,Yds,Ply,Y/P,TO,FL,1stD
Team Stats,436,6295,1073.0,5.9,18,7,365
Opp. Stats,325,5746,1002.0,5.7,28,10,322
Lg Rank Offense,4,5, , ,7,8,8
Lg Rank Defense,7,21, , ,5,12,17
