Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy
Team Stats,485,5741,996,5.8,23,12,302,261,447,3692,30,11,8.1,179,540,2049,21,3.8,107,90,798,16
Opp. Stats,224,4293,946,4.5,41,14,242,292,548,2947,13,27,4.9,151,348,1346,11,3.9,72,94,767,19
Lg Rank Offense,1,4,,,3,4,9,,26,5,2,3,1,,1,7,1,18,,,,
Lg Rank Defense,2,3,,,3,14,3,,27,9,5,2,2,,2,3,12,11,,,,
