Player,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Team Stats,227.0,104.0,45.8%,12.0,8.0,66.7%,60.0,38.0,63.3%
Opp. Stats,206.0,76.0,36.9%,18.0,7.0,38.9%,44.0,23.0,52.3%
Lg Rank Offense, , ,4, , ,7, , ,8
Lg Rank Defense, , ,7, , ,10, , ,8
