Player,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Team Stats,219.0,91.0,41.6%,17.0,6.0,35.3%,55.0,30.0,54.5%
Opp. Stats,211.0,73.0,34.6%,16.0,10.0,62.5%,42.0,25.0,59.5%
Lg Rank Offense, , ,12, , ,27, , ,12
Lg Rank Defense, , ,5, , ,29, , ,28
