Player,Att.1,Yds.2,TD.1,Y/A,1stD.2
Team Stats,469,2148,15,4.6,119.0
Opp. Stats,408,1563,12,3.8,83.0
Lg Rank Offense,8,4,7,4.0, 
Lg Rank Defense,10,8,17,9.0, 
