Player,PF,Yds,Ply,Y/P,TO,FL,1stD
Team Stats,355,5688,1056.0,5.4,31,8,314
Opp. Stats,296,4530,1033.0,4.4,27,13,289
Lg Rank Offense,19,16, , ,29,7,19
Lg Rank Defense,4,1, , ,8,4,5
