Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds.1,TD,Int,NY/A,1stD.1,Att.1,Yds.2,TD.1,Y/A,1stD.2,Pen,Yds.3,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds.4,Pts
Team Stats,427,6070,1011.0,6.0,19,10,376,362.0,557,4308,31,9,7.5,241.0,439,1762,17,4.0,112.0,86.0,718.0,23.0,156.0,47.4,10.9,Own 28.8,3:02,6.67,38.9,2.65
Opp. Stats,360,5316,959.0,5.5,26,11,325,266.0,415,2548,16,15,5.8,150.0,519,2768,20,5.3,150.0,86.0,667.0,25.0,156.0,38.5,16.7,Own 30.7,3:07,6.4,34.1,2.08
Lg Rank Offense,2,3, , ,4,10,1, ,6,2,1,2,1.0, ,18,18,6,16.0, , , , , ,1.0,28.0,27,1,1.0,1.0,1.0
Lg Rank Defense,23,21, , ,21,17,28, ,2,2,5,20,13.0, ,31,32,30,32.0, , , , , ,3.0,6.0,21,32,32.0,32.0,31.0
