Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds.1,TD,Int,NY/A,1stD.1,Att.1,Yds.2,TD.1,Y/A,1stD.2,Pen,Yds.3,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds.4,Pts
Team Stats,510,6461,1032.0,6.3,28,16,348,378.0,544,4355,34,12,7.7,215.0,468,2106,21,4.5,115.0,89.0,787.0,18.0,185.0,41.6,13.5,Own 31.4,2:44,5.73,34.9,2.44
Opp. Stats,341,5724,1044.0,5.5,39,13,310,330.0,574,3769,15,26,6.2,175.0,435,1955,19,4.5,111.0,86.0,717.0,24.0,194.0,31.4,18.0,Own 28.5,2:25,5.5,29.5,1.64
Lg Rank Offense,1,1, , ,16,29,2, ,15,4,1,6,2.0, ,7,6,3,7.0, , , , , ,3.0,17.0,6,12,13.0,3.0,2.0
Lg Rank Defense,20,25, , ,2,6,22, ,27,26,5,3,20.0, ,17,21,28,26.0, , , , , ,17.0,3.0,9,4,19.0,20.0,15.0
