Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy
Team Stats,190,2985,598,5.0,16,7,165,162,253,1845,13,9,6.5,87,315,1140,5,3.6,66,46,404,12
Opp. Stats,128,2560,554,4.6,24,13,151,146,275,1614,8,11,5.3,93,247,946,8,3.8,47,52,419,11
Lg Rank Offense,12,7,,,2,3,15,,24,12,8,3,5,,5,10,21,17,,,,
Lg Rank Defense,1,4,,,11,3,3,,11,7,3,20,7,,5,8,12,14,,,,
