Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,346,5002,1022,4.9,21,11,287,348,567,3445,23,10,5.7,172,414,1557,6,3.8,90,103,789,25,187,32.6,10.7,Own 32.4,2:45,5.67,26.7,1.60
Opp. Stats,196,4044,963,4.2,38,7,236,259,510,2490,10,31,4.5,131,410,1554,8,3.8,79,93,749,26,197,17.8,18.3,Own 28.8,2:20,5.0,20.4,0.90
Lg Rank Offense,18,24,,,6,12,23,,11,15,14,2,21,,23,27,31,28,,,,,,18,27,8,5,14,23,22
Lg Rank Defense,1,1,,,3,30,1,,5,1,1,1,1,,10,5,3,5,,,,,,32,4,3,3,2,1,1
