Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy
Team Stats,505,6060,1037,5.8,24,13,362,359,511,4163,37,11,7.6,210,491,1897,23,3.9,122,109,890,30
Opp. Stats,296,4839,996,4.9,35,12,285,329,583,3501,15,23,5.6,182,375,1338,16,3.6,82,108,912,21
Lg Rank Offense,1,2,,,5,15,1,,18,4,1,3,1,,5,6,2,7,,,,
Lg Rank Defense,6,8,,,5,14,10,,24,17,3,1,6,,2,2,23,8,,,,
