Player,#Dr,Sc%,TO%,Start,Time,Plays,Yds.4,Pts
Team Stats,195.0,32.8,12.8,Own 36.8,2:44,5.63,25.5,1.58
Opp. Stats,194.0,15.5,23.7,Own 28.6,2:12,4.9,20.4,0.79
Lg Rank Offense, ,10.0,22.0,1,3,8.0,20.0,14.0
Lg Rank Defense, ,31.0,1.0,2,1,1.0,2.0,1.0
